ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2024
20_500_5249_15_1,Scope 3,Waste disposal,Construction,Tyres,,Composting,tonnes,kg CO2e,
20_500_5250_15_1,Scope 3,Waste disposal,Construction,Tyres,,Landfill,tonnes,kg CO2e,
20_500_5251_15_1,Scope 3,Waste disposal,Construction,Tyres,,Anaerobic digestion,tonnes,kg CO2e,
20_500_5252_15_1,Scope 3,Waste disposal,Construction,Wood,,Re-use,tonnes,kg CO2e,
20_500_5253_15_1,Scope 3,Waste disposal,Construction,Wood,,Open-loop,tonnes,kg CO2e,
20_500_5254_15_1,Scope 3,Waste disposal,Construction,Wood,,Closed-loop,tonnes,kg CO2e,6.41061
20_500_5255_15_1,Scope 3,Waste disposal,Construction,Wood,,Combustion,tonnes,kg CO2e,6.41061
20_500_5256_15_1,Scope 3,Waste disposal,Construction,Wood,,Composting,tonnes,kg CO2e,8.88386
20_500_5257_15_1,Scope 3,Waste disposal,Construction,Wood,,Landfill,tonnes,kg CO2e,925.24423
20_500_5258_15_1,Scope 3,Waste disposal,Construction,Wood,,Anaerobic digestion,tonnes,kg CO2e,
20_501_5259_15_1,Scope 3,Waste disposal,Other,Books,,Re-use,tonnes,kg CO2e,
20_501_5260_15_1,Scope 3,Waste disposal,Other,Books,,Open-loop,tonnes,kg CO2e,
20_501_5261_15_1,Scope 3,Waste disposal,Other,Books,,Closed-loop,tonnes,kg CO2e,6.41061
20_501_5262_15_1,Scope 3,Waste disposal,Other,Books,,Combustion,tonnes,kg CO2e,6.41061
20_501_5263_15_1,Scope 3,Waste disposal,Other,Books,,Composting,tonnes,kg CO2e,8.88386
20_501_5264_15_1,Scope 3,Waste disposal,Other,Books,,Landfill,tonnes,kg CO2e,1164.39015
20_501_5265_15_1,Scope 3,Waste disposal,Other,Books,,Anaerobic digestion,tonnes,kg CO2e,
20_501_5266_15_1,Scope 3,Waste disposal,Other,Glass,,Re-use,tonnes,kg CO2e,
20_501_5267_15_1,Scope 3,Waste disposal,Other,Glass,,Open-loop,tonnes,kg CO2e,6.41061
20_501_5268_15_1,Scope 3,Waste disposal,Other,Glass,,Closed-loop,tonnes,kg CO2e,6.41061
20_501_5269_15_1,Scope 3,Waste disposal,Other,Glass,,Combustion,tonnes,kg CO2e,6.41061
20_501_5270_15_1,Scope 3,Waste disposal,Other,Glass,,Composting,tonnes,kg CO2e,
20_501_5271_15_1,Scope 3,Waste disposal,Other,Glass,,Landfill,tonnes,kg CO2e,8.88386
20_501_5272_15_1,Scope 3,Waste disposal,Other,Glass,,Anaerobic digestion,tonnes,kg CO2e,
20_501_5273_15_1,Scope 3,Waste disposal,Other,Clothing,,Re-use,tonnes,kg CO2e,
20_501_5274_15_1,Scope 3,Waste disposal,Other,Clothing,,Open-loop,tonnes,kg CO2e,
20_501_5275_15_1,Scope 3,Waste disposal,Other,Clothing,,Closed-loop,tonnes,kg CO2e,6.41061
20_501_5276_15_1,Scope 3,Waste disposal,Other,Clothing,,Combustion,tonnes,kg CO2e,6.41061
20_501_5277_15_1,Scope 3,Waste disposal,Other,Clothing,,Composting,tonnes,kg CO2e,
20_501_5278_15_1,Scope 3,Waste disposal,Other,Clothing,,Landfill,tonnes,kg CO2e,496.68303
20_501_5279_15_1,Scope 3,Waste disposal,Other,Clothing,,Anaerobic digestion,tonnes,kg CO2e,
20_507_5280_15_1,Scope 3,Waste disposal,Refuse,Household residual waste,,Re-use,tonnes,kg CO2e,
20_507_5281_15_1,Scope 3,Waste disposal,Refuse,Household residual waste,,Open-loop,tonnes,kg CO2e,
20_507_5282_15_1,Scope 3,Waste disposal,Refuse,Household residual waste,,Closed-loop,tonnes,kg CO2e,
20_507_5283_15_1,Scope 3,Waste disposal,Refuse,Household residual waste,,Combustion,tonnes,kg CO2e,6.41061
20_507_5284_15_1,Scope 3,Waste disposal,Refuse,Household residual waste,,Composting,tonnes,kg CO2e,
20_507_5285_15_1,Scope 3,Waste disposal,Refuse,Household residual waste,,Landfill,tonnes,kg CO2e,497.04416
20_507_5286_15_1,Scope 3,Waste disposal,Refuse,Household residual waste,,Anaerobic digestion,tonnes,kg CO2e,
20_507_5287_15_1,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,,Re-use,tonnes,kg CO2e,
20_507_5288_15_1,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,,Open-loop,tonnes,kg CO2e,
20_507_5289_15_1,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,,Closed-loop,tonnes,kg CO2e,
20_507_5290_15_1,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,,Combustion,tonnes,kg CO2e,6.41061
20_507_5291_15_1,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,,Composting,tonnes,kg CO2e,8.88386
20_507_5292_15_1,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,,Landfill,tonnes,kg CO2e,700.20961
20_507_5293_15_1,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,,Anaerobic digestion,tonnes,kg CO2e,8.88386
20_507_5294_15_1,Scope 3,Waste disposal,Refuse,Organic: garden waste,,Re-use,tonnes,kg CO2e,
20_507_5295_15_1,Scope 3,Waste disposal,Refuse,Organic: garden waste,,Open-loop,tonnes,kg CO2e,
20_507_5296_15_1,Scope 3,Waste disposal,Refuse,Organic: garden waste,,Closed-loop,tonnes,kg CO2e,
20_507_5297_15_1,Scope 3,Waste disposal,Refuse,Organic: garden waste,,Combustion,tonnes,kg CO2e,6.41061
20_507_5298_15_1,Scope 3,Waste disposal,Refuse,Organic: garden waste,,Composting,tonnes,kg CO2e,8.88386
20_507_5299_15_1,Scope 3,Waste disposal,Refuse,Organic: garden waste,,Landfill,tonnes,kg CO2e,646.60632
20_507_5300_15_1,Scope 3,Waste disposal,Refuse,Organic: garden waste,,Anaerobic digestion,tonnes,kg CO2e,8.88386
20_507_5301_15_1,Scope 3,Waste disposal,Refuse,Organic: mixed food and garden waste,,Re-use,tonnes,kg CO2e,
20_507_5302_15_1,Scope 3,Waste disposal,Refuse,Organic: mixed food and garden waste,,Open-loop,tonnes,kg CO2e,
20_507_5303_15_1,Scope 3,Waste disposal,Refuse,Organic: mixed food and garden waste,,Closed-loop,tonnes,kg CO2e,
20_507_5304_15_1,Scope 3,Waste disposal,Refuse,Organic: mixed food and garden waste,,Combustion,tonnes,kg CO2e,6.41061
20_507_5305_15_1,Scope 3,Waste disposal,Refuse,Organic: mixed food and garden waste,,Composting,tonnes,kg CO2e,8.88386
20_507_5306_15_1,Scope 3,Waste disposal,Refuse,Organic: mixed food and garden waste,,Landfill,tonnes,kg CO2e,655.98690
20_507_5307_15_1,Scope 3,Waste disposal,Refuse,Organic: mixed food and garden waste,,Anaerobic digestion,tonnes,kg CO2e,8.88386
20_507_5308_15_1,Scope 3,Waste disposal,Refuse,Commercial and industrial waste,,Re-use,tonnes,kg CO2e,
20_507_5309_15_1,Scope 3,Waste disposal,Refuse,Commercial and industrial waste,,Open-loop,tonnes,kg CO2e,
20_507_5310_15_1,Scope 3,Waste disposal,Refuse,Commercial and industrial waste,,Closed-loop,tonnes,kg CO2e,
20_507_5311_15_1,Scope 3,Waste disposal,Refuse,Commercial and industrial waste,,Combustion,tonnes,kg CO2e,6.41061
20_507_5312_15_1,Scope 3,Waste disposal,Refuse,Commercial and industrial waste,,Composting,tonnes,kg CO2e,
20_507_5313_15_1,Scope 3,Waste disposal,Refuse,Commercial and industrial waste,,Landfill,tonnes,kg CO2e,520.33420
20_507_5314_15_1,Scope 3,Waste disposal,Refuse,Commercial and industrial waste,,Anaerobic digestion,tonnes,kg CO2e,
