ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2024
5_303_3089_4_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Petrol,km,kg CO2e of CH4 per unit,0.00027
5_303_3089_4_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Petrol,km,kg CO2e of N2O per unit,0.00044
5_303_3090_4_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,CNG,km,kg CO2e,
5_303_3090_4_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,CNG,km,kg CO2e of CO2 per unit,
5_303_3090_4_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,CNG,km,kg CO2e of CH4 per unit,
5_303_3090_4_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,CNG,km,kg CO2e of N2O per unit,
5_303_3091_4_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,LPG,km,kg CO2e,
5_303_3091_4_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,LPG,km,kg CO2e of CO2 per unit,
5_303_3091_4_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,LPG,km,kg CO2e of CH4 per unit,
5_303_3091_4_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,LPG,km,kg CO2e of N2O per unit,
5_303_3092_4_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Unknown,km,kg CO2e,
5_303_3092_4_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Unknown,km,kg CO2e of CO2 per unit,
5_303_3092_4_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Unknown,km,kg CO2e of CH4 per unit,
5_303_3092_4_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Unknown,km,kg CO2e of N2O per unit,
5_303_3093_4_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,km,kg CO2e,
5_303_3093_4_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,
5_303_3093_4_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,
5_303_3093_4_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,
5_303_3094_4_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,km,kg CO2e,0.00000
5_303_3094_4_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00000
5_303_3094_4_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00000
5_303_3094_4_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00000
5_303_3088_9_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Diesel,miles,kg CO2e,0.30309
5_303_3088_9_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Diesel,miles,kg CO2e of CO2 per unit,0.30041
5_303_3088_9_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Diesel,miles,kg CO2e of CH4 per unit,0.00001
5_303_3088_9_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Diesel,miles,kg CO2e of N2O per unit,0.00267
5_303_3089_9_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Petrol,miles,kg CO2e,0.34936
5_303_3089_9_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Petrol,miles,kg CO2e of CO2 per unit,0.34823
5_303_3089_9_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Petrol,miles,kg CO2e of CH4 per unit,0.00043
5_303_3089_9_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Petrol,miles,kg CO2e of N2O per unit,0.00070
5_303_3090_9_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,CNG,miles,kg CO2e,
5_303_3090_9_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,CNG,miles,kg CO2e of CO2 per unit,
5_303_3090_9_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,CNG,miles,kg CO2e of CH4 per unit,
5_303_3090_9_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,CNG,miles,kg CO2e of N2O per unit,
5_303_3091_9_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,LPG,miles,kg CO2e,
5_303_3091_9_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,LPG,miles,kg CO2e of CO2 per unit,
5_303_3091_9_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,LPG,miles,kg CO2e of CH4 per unit,
5_303_3091_9_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,LPG,miles,kg CO2e of N2O per unit,
5_303_3092_9_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Unknown,miles,kg CO2e,
5_303_3092_9_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Unknown,miles,kg CO2e of CO2 per unit,
5_303_3092_9_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Unknown,miles,kg CO2e of CH4 per unit,
5_303_3092_9_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Unknown,miles,kg CO2e of N2O per unit,
5_303_3093_9_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,
5_303_3093_9_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,
5_303_3093_9_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,
5_303_3093_9_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,
5_303_3094_9_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,miles,kg CO2e,0.00000
5_303_3094_9_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00000
5_303_3094_9_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00000
5_303_3094_9_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.00000
5_303_3095_4_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Diesel,km,kg CO2e,0.27365
5_303_3095_4_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Diesel,km,kg CO2e of CO2 per unit,0.27200
5_303_3095_4_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Diesel,km,kg CO2e of CH4 per unit,0.000005
5_303_3095_4_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Diesel,km,kg CO2e of N2O per unit,0.00165
5_303_3096_4_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Petrol,km,kg CO2e,0.34923
5_303_3096_4_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Petrol,km,kg CO2e of CO2 per unit,0.34852
5_303_3096_4_3,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Petrol,km,kg CO2e of CH4 per unit,0.00027
5_303_3096_4_4,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,Petrol,km,kg CO2e of N2O per unit,0.00044
5_303_3097_4_1,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,CNG,km,kg CO2e,
5_303_3097_4_2,Scope 1,Delivery vehicles,Vans,Class III (1.74 to 3.5 tonnes),,CNG,km,kg CO2e of CO2 per unit,
